yearID,teamID,avg_age,lgID,franchID,G,R,W,L,runs_per_game,win_pct
2007,ARI,26.95897435897436,NL,ARI,162,712,90,72,4.395061728395062,0.5555555555555556
2007,ATL,27.634842205929232,NL,ATL,162,810,84,78,5.0,0.5185185185185185
2007,BAL,31.045783132530122,AL,BAL,162,756,69,93,4.666666666666667,0.42592592592592593
2007,BOS,30.757817385866165,AL,BOS,162,867,96,66,5.351851851851852,0.5925925925925926
2007,CHA,30.238448844884488,AL,CHW,162,693,72,90,4.277777777777778,0.4444444444444444
2007,CHN,29.788906752411574,NL,CHC,162,752,85,77,4.6419753086419755,0.5246913580246914
2007,CIN,30.02094324540368,NL,CIN,162,783,72,90,4.833333333333333,0.4444444444444444
2007,CLE,28.468340438970472,AL,CLE,162,811,96,66,5.006172839506172,0.5925925925925926
2007,COL,28.4257209664848,NL,COL,163,860,90,73,5.276073619631902,0.5521472392638037
2007,DET,31.510897030953885,AL,DET,162,887,88,74,5.4753086419753085,0.5432098765432098
2007,FLO,26.887117346938776,NL,FLA,162,790,71,91,4.8765432098765435,0.4382716049382716
2007,HOU,31.832559628621738,NL,HOU,162,723,73,89,4.462962962962963,0.4506172839506173
2007,KCA,28.452935388652016,AL,KCR,162,706,69,93,4.3580246913580245,0.42592592592592593
2007,LAA,29.060330846578008,AL,ANA,162,822,94,68,5.074074074074074,0.5802469135802469
2007,LAN,30.19402025397846,NL,LAD,162,735,82,80,4.537037037037037,0.5061728395061729
2007,MIL,28.056005179669796,NL,MIL,162,801,83,79,4.944444444444445,0.5123456790123457
2007,MIN,28.87857026277134,AL,MIN,162,718,79,83,4.432098765432099,0.4876543209876543
2007,NYA,31.24036386062288,AL,NYY,162,968,94,68,5.9753086419753085,0.5802469135802469
2007,NYN,30.97163577759871,NL,NYM,162,804,88,74,4.962962962962963,0.5432098765432098
2007,OAK,29.442325874566656,AL,OAK,162,741,76,86,4.574074074074074,0.4691358024691358
2007,PHI,29.40998300108175,NL,PHI,162,892,89,73,5.506172839506172,0.5493827160493827
2007,PIT,27.8126421839454,NL,PIT,162,724,68,94,4.469135802469136,0.41975308641975306
2007,SDN,30.094059405940595,NL,SDP,163,741,89,74,4.54601226993865,0.5460122699386503
2007,SEA,30.535546558704453,AL,SEA,162,794,88,74,4.901234567901234,0.5432098765432098
2007,SFN,33.57379983726607,NL,SFG,162,683,71,91,4.216049382716049,0.4382716049382716
2007,SLN,30.53540615334527,NL,STL,162,725,78,84,4.4753086419753085,0.48148148148148145
